Type,Interactions,Allergies,Review,Use,Drug,Indication,AvoidUse,Sides,Condition
 rx,"Beta-blocker medications (such as metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia). Other symptoms of low blood sugar, such as dizziness, hunger, or sweating, are unaffected by these drugs.",SITAGLIPTIN  GLIPTINS (DPP-4 INHIBITORS),16  User Reviews        ,"Sitagliptin  is used with a proper  diet and exercise  program and possibly with other  medications  to control high  blood sugar . It is used in people with  type 2 diabetes . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke .",sitagliptin oral, label,"Acute Inflammation of the Pancreas, low blood sugar, Moderate to Severe Kidney Impairment",Remember that your doctor has prescribed this medication because he or she has judged that the benefit to you is greater than the risk of side effects. Many people using this medication do not have serious side effects.,Prevention of Type 2 Diabetes Mellitus
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",SULFONYLUREAS,15  User Reviews        ,"Glipizide  is used with a proper  diet and exercise  program to control high  blood sugar  in people with  type 2 diabetes . It may also be used with other  diabetes   medications . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke . Glipizide belongs to the class of drugs known as sulfonylureas. It lowers blood sugar by causing the release of your body's natural  insulin .",Glucotrol XL oral, label,"Liver Problems, Kidney Disease, Recent Operation, Body Temperature More Than 101 Degrees F, Severe Nausea and Vomiting that has Lasted a Long Time, Weakened Patient, Injury, low blood sugar, Pituitary Hormone Deficiency, Addison's Disease, Hepatic Porphyria, Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency Anemia, Hemolytic Anemia, Habit of Drinking Too Much Alcohol","Nausea,  vomiting , loss of appetite,  diarrhea ,  constipation ,  upset stomach , gas,  headache , and  weight  gain may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Prevention of Type 2 Diabetes Mellitus
 rx,A product that may interact with this drug is: rosiglitazone.,INSULINS  INSULINS - HUMAN,14  User Reviews        ,"Insulin  glulisine is used with a proper  diet and exercise  program to control high  blood sugar  in people with  diabetes . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke .",Apidra subcutaneous, label,"Liver Problems, Kidney Disease, low blood sugar, Low Amount of Potassium in the Blood","Injection site reactions (such as pain, redness, irritation) may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Prevention of Type 2 Diabetes Mellitus
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",SULFONYLUREAS   PIOGLITAZONE,14  User Reviews        ,"This medication is a combination of 2 drugs, pioglitazone and  glimepiride . It is used along with a proper  diet and exercise  program to control high  blood sugar  in patients with  type 2 diabetes . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke .",DUETACT oral, label,"Macular Edema, Dysreflexia, Chronic Heart Failure, Severe Heart Failure, Suddenly Serious Symptoms of Heart Failure, Liver Problems, Kidney Disease, Bloody Urine, Recent Operation, Fever, Body Temperature More Than 101 Degrees F, Visible Water Retention, Abnormal Liver Function Tests, Weakened Patient, Broken Bone, Injury, A Mother who is Producing Milk and Breastfeeding, infection, cancer of the bladder, low blood sugar, Pituitary Hormone Deficiency, Addison's Disease, Water Retention, Hepatic Porphyria, Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency Anemia, Hemolytic Anemia, Habit of Drinking Too Much Alcohol",See also Warning section.,Prevention of Type 2 Diabetes Mellitus
 rx,"Beta-blocker medications (such as metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia). Other symptoms of low blood sugar, such as dizziness, hunger, or sweating, are unaffected by these drugs.",GLIPTINS (DPP-4 INHIBITORS)  BIGUANIDES,14  User Reviews        ,"Linagliptin/metformin is used with a proper  diet and exercise  program to control high  blood sugar  in people with  type 2 diabetes . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke .",Jentadueto oral, label,"Alcohol Intoxication, Pancreatitis, Heart Attack, Suddenly Serious Symptoms of Heart Failure, Liver Problems, Recent Operation, Fever, Shock, Severe Vomiting, Severe Diarrhea, Serious Lack of Oxygen in the Blood, Weakened Patient, Injury, infection, Sepsis Syndrome, low blood sugar, Pituitary Hormone Deficiency, Decreased Function of the Adrenal Gland, Inadequate Vitamin B12, Excess Body Acid, Extreme Loss of Body Water, Moderate to Severe Kidney Impairment, X-Ray Study with Intravenous Iodine Contrast Agent, Habit of Drinking Too Much Alcohol",See also Warning section.,Prevention of Type 2 Diabetes Mellitus
 rx,"This drug should not be used with the following medications because very serious interactions may occur: activated charcoal, digestive enzyme products (e.g., amylase, pancreatin).", ,13  User Reviews        ,"Acarbose  is used along with a proper  diet and exercise  program to control high  blood sugar  in people with  type 2 diabetes . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke . Acarbose works by slowing the breakdown of starch (carbohydrates) from the food you eat into sugar, so that your blood sugar level does not rise as much after a meal.",Precose oral, label,"Ulceration of Colon, Inflammatory Bowel Disease, Stomach or Intestine Blockage, Hardening of the Liver, Liver Problems, Malabsorption, Kidney Disease, Abnormal Liver Function Tests, low blood sugar","Diarrhea , gas,  upset stomach ,  constipation , or  stomach pain  may occur in the first few weeks of treatment as your body adjusts to this medication but usually improve with time. Follow your prescribed diet to help lessen these side effects. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Prevention of Type 2 Diabetes Mellitus
 rx,A product that may interact with this drug is: rosiglitazone.,INSULINS - HUMAN,12  User Reviews        ,Insulin  lispro protamine/ insulin  lispro is used along with a proper  diet and exercise  program to control high  blood sugar  in people with  diabetes . This product is a combination of two man-made insulins: intermediate-acting  insulin  lispro protamine and rapid-acting insulin lispro. This combination starts working faster and lasts for a longer time than regular insulin.,Humalog Mix 75-25 subcutaneous, label,"Liver Problems, Kidney Disease, low blood sugar, Low Amount of Potassium in the Blood",See also the How to Use section.,Prevention of Type 2 Diabetes Mellitus
 rx,"Before using this medication, tell your doctor or pharmacist of all prescription and nonprescription/herbal products you may use.", ,11  User Reviews        ,"Nateglinide  is used alone or with other  medications  to control high  blood sugar  along with a proper  diet and exercise  program. It is used in people with  type 2 diabetes . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke . It works by stimulating the body to produce more  insulin .  Insulin  is a natural substance that allows the body to properly use sugar from the diet.",nateglinide oral, label,"Liver Problems, Recent Operation, Fever, Injury, severe infection, low blood sugar, Pituitary Hormone Deficiency, Addison's Disease","Weight  gain may occur. If this effect persists or worsens, notify your doctor or pharmacist promptly.",Prevention of Type 2 Diabetes Mellitus
 rx,A product that may interact with this drug is: rosiglitazone.,INSULINS - HUMAN,11  User Reviews        ,Insulin  lispro protamine/ insulin  lispro is used along with a proper  diet and exercise  program to control high  blood sugar  in people with  diabetes . This product is a combination of two man-made insulins: intermediate-acting  insulin  lispro protamine and rapid-acting insulin lispro. This combination starts working faster and lasts for a longer time than regular insulin.,Humalog Mix 75-25 KwikPen subcutaneous, label,"Liver Problems, Kidney Disease, low blood sugar, Low Amount of Potassium in the Blood",See also the How to Use section.,Prevention of Type 2 Diabetes Mellitus
 otc,"Some products that may interact with this drug include: repaglinide, rosiglitazone.",INSULINS  INSULINS - HUMAN  PROTAMINE,10  User Reviews        ,"Insulin  isophane is used with a proper  diet and exercise  program to control high  blood sugar  in people with  diabetes . Controlling high  blood sugar  helps prevent  kidney  damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of  diabetes  may also lessen your risk of a  heart attack  or  stroke .",Novolin N subcutaneous, label,"Liver Problems, Kidney Disease, low blood sugar, Low Amount of Potassium in the Blood","Injection site reactions (such as pain, redness, irritation) may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Prevention of Type 2 Diabetes Mellitus
