URL,Review,Drug,Indication,Type,Condition
http://www.webmd.com/drugs/drug-1207-Aldara+topical,174  User Reviews        ,Aldara topical, offlabel, rx,
http://www.webmd.com/drugs/drug-1191-imiquimod+topical,28  User Reviews        ,imiquimod topical, offlabel, rx,
http://www.webmd.com/drugs/drug-9755-Vivotif+Berna+Vaccine+oral,9  User Reviews        ,Vivotif Berna Vaccine oral, label, rx,
http://www.webmd.com/drugs/drug-6051-typhoid+VI+polysacch+vaccine+intramuscular,Be the first to review it,typhoid VI polysacch vaccine intramuscular, label, rx,
http://www.webmd.com/drugs/drug-11251-Typhim+VI+intramuscular,Be the first to review it,Typhim VI intramuscular, label, rx,
http://www.webmd.com/drugs/drug-163584-Vivotif+oral,Be the first to review it,Vivotif oral, label, rx,
http://www.webmd.com/drugs/drug-166763-typhoid+vaccine%2clive%2cattenuated+oral,Be the first to review it,"typhoid vaccine,live,attenuated oral", label, rx,
http://www.webmd.com/drugs/drug-6007-prednisone+oral,2541  User Reviews        ,prednisone oral, label, rx,
http://www.webmd.com/drugs/drug-6470-methylprednisolone+oral,550  User Reviews        ,methylprednisolone oral, label, rx,
http://www.webmd.com/drugs/drug-6485-Singulair+oral,503  User Reviews        ,Singulair oral, label, rx,
http://www.webmd.com/drugs/drug-148996-Xyzal+oral,357  User Reviews        ,Xyzal oral, label, rx,
http://www.webmd.com/drugs/drug-12127-Zyrtec+oral,341  User Reviews        ,Zyrtec oral, label, rxotc,
http://www.webmd.com/drugs/drug-8895-promethazine+oral,233  User Reviews        ,promethazine oral, label, rx,
http://www.webmd.com/drugs/drug-5680-Benadryl+oral,185  User Reviews        ,Benadryl oral, label, otc,
http://www.webmd.com/drugs/drug-1428-diphenhydramine+oral,181  User Reviews        ,diphenhydramine oral, label, rxotc,
http://www.webmd.com/drugs/drug-4820-Nasonex+nasal,139  User Reviews        ,Nasonex nasal, label, rx,
http://www.webmd.com/drugs/drug-161075-ZzzQuil+oral,131  User Reviews        ,ZzzQuil oral, label, otc,
http://www.webmd.com/drugs/drug-11321-Medrol+Pak+oral,121  User Reviews        ,Medrol (Pak) oral, label, rx,
http://www.webmd.com/drugs/drug-15940-Tussionex+Pennkinetic+ER+oral,118  User Reviews        ,Tussionex Pennkinetic ER oral, label, rx,
http://www.webmd.com/drugs/drug-6469-Medrol+oral,117  User Reviews        ,Medrol oral, label, rx,
http://www.webmd.com/drugs/drug-5346-Claritin+oral,109  User Reviews        ,Claritin oral, label, otc,
http://www.webmd.com/drugs/drug-148274-Veramyst+nasal,109  User Reviews        ,Veramyst nasal, label, rx,
http://www.webmd.com/drugs/drug-73-loratadine+oral,98  User Reviews        ,loratadine oral, label, otc,
http://www.webmd.com/drugs/drug-147073-Pataday+ophthalmic,96  User Reviews        ,Pataday ophthalmic, offlabel, rx,
http://www.webmd.com/drugs/drug-13823-fexofenadine+oral,95  User Reviews        ,fexofenadine oral, label, rxotc,
http://www.webmd.com/drugs/drug-6478-montelukast+oral,80  User Reviews        ,montelukast oral, label, rx,
http://www.webmd.com/drugs/drug-12065-cetirizine+oral,80  User Reviews        ,cetirizine oral, label, rxotc,
http://www.webmd.com/drugs/drug-8879-cyproheptadine+oral,72  User Reviews        ,cyproheptadine oral, label, rx,
http://www.webmd.com/drugs/drug-5485-Allegra-D+12+Hour+oral,71  User Reviews        ,Allegra-D 12 Hour oral, label, rxotc,
http://www.webmd.com/drugs/drug-150246-Omnaris+nasal,71  User Reviews        ,Omnaris nasal, label, rx,
http://www.webmd.com/drugs/drug-15983-Claritin-D+24+Hour+oral,70  User Reviews        ,Claritin-D 24 Hour oral, label, otc,
http://www.webmd.com/drugs/drug-6307-prednisolone+oral,67  User Reviews        ,prednisolone oral, label, rx,
http://www.webmd.com/drugs/drug-148989-levocetirizine+oral,62  User Reviews        ,levocetirizine oral, label, rx,
http://www.webmd.com/drugs/drug-21779-Zyrtec-D+oral,61  User Reviews        ,Zyrtec-D oral, label, rxotc,
http://www.webmd.com/drugs/drug-2921-promethazine-codeine+oral,54  User Reviews        ,promethazine-codeine oral, label, rx,
http://www.webmd.com/drugs/drug-92831-Allegra-D+24+Hour+oral,54  User Reviews        ,Allegra-D 24 Hour oral, label, rxotc,
http://www.webmd.com/drugs/drug-10525-Unisom+doxylamine+oral,53  User Reviews        ,Unisom (doxylamine) oral, label, otc,
http://www.webmd.com/drugs/drug-150388-Patanase+nasal,53  User Reviews        ,Patanase nasal, label, rx,
