Type,Interactions,Allergies,Review,Use,Drug,Indication,AvoidUse,Sides,Condition
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Complete Allergy oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  ,   upset, blurred  , or  /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Symptom in the Eye Associated with Allergic Rhinitis
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Siladryl SA oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  ,   upset, blurred  , or  /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Symptom in the Eye Associated with Allergic Rhinitis
 rx,"Some products that may interact with this vaccine include:   (such as sulfonamides like  ), corticosteroids (such as  , dexamethasone),  , drugs that weaken the immune system (such as  ,  ,   drugs like  , mycophenolate,  ,  ), proguanil.",GRAM NEGATIVE BACILLI  TYPHOID VACCINES,Be the first to review it,"This  vaccine  is used to help prevent infection ( typhoid fever ) caused by a certain bacteria ( Salmonella  typhi). People can get this infection by eating contaminated food or drinking contaminated water. This  vaccine  is recommended for people older than 6 years who are traveling to areas where typhoid fever is common (such as countries in Central and South America, Africa, Asia), who are exposed to someone with persistent typhoid infection, or who work with the bacteria in a laboratory.","typhoid vaccine,live,attenuated oral", label,"Body Temperature More Than 101 Degrees F, Vomiting that Cannot Be Stopped, Chronic Diarrhea, Reduction in the Body's Resistance to Infection"," may occur. If this effect persists or worsens, tell health care professional promptly.",Typhoid Vaccination
 otc,"Keep a list of all your   with you, and share the list with your doctor and pharmacist.",ACETAMINOPHEN   ANTIHISTAMINES  ANTIHISTAMINES - ETHYLENEDIAMINE,Be the first to review it,Consult your pharmacist.,pyrilamine-chlophedianol-acetaminophen oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Acute Liver Failure, Liver Problems, Severe Renal Impairment, Blockage of Urinary Bladder, Enlarged Prostate, Shock, Cannot Empty Bladder, Abnormal Nervous System Function Affecting Mental Alertness, Weakened Patient, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, overactive thyroid gland, Poor Nutrition",Consult your pharmacist.,Symptom in the Eye Associated with Allergic Rhinitis
 otc,"Keep a list of all your   with you, and share the list with your doctor and pharmacist.",ANTIHISTAMINES  ANTIHISTAMINES - ALKYLAMINE  SALICYLATES  NSAIDS (NON-STEROIDAL ANTI-INFLAMMATORY DRUG)   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,1  User Reviews        ,Consult your pharmacist.,Advil Allergy-Congestion Relief oral, label,"Tobacco Smoking, Chronic Obstructive Lung Disease, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, Increased Cardiovascular Event Risk, Time Immediately after Coronary Bypass Surgery, Acute Thromboembolic Stroke, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Stroke, Severe Hardening of the Arteries, Blood Clot in an Artery, Blood Clot, Stenosing Peptic Ulcer, Stomach or Intestinal Ulcer, Stomach or Intestine Blockage, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Bleeding of the Stomach or Intestines, Kidney Disease, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, Decreased Oxygen In The Tissues Or Blood, Pregnancy, systemic mastocytosis, overactive thyroid gland, Acidosis, A Rupture in the Wall of the Stomach or Intestine, Blood Clotting Disorder, Increased Risk of Bleeding, Habit of Drinking Too Much Alcohol",Consult your pharmacist.,Symptom in the Eye Associated with Allergic Rhinitis
 otc,"If you are taking this product under your doctor's direction, your doctor or pharmacist may already be aware of any possible drug interactions and may be monitoring you for them. Do not start, stop, or change the dosage of any medicine before checking with your doctor or pharmacist first.",ACETAMINOPHEN   ANTIHISTAMINES  ANTIHISTAMINES - ALKYLAMINE   DEXTROMETHORPHAN ANALOGU   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat symptoms caused by the  common cold ,  flu ,  allergies , or other breathing illnesses (such as  sinusitis ,  bronchitis ).  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain , reducing the urge to  cough .  Decongestants  help relieve stuffy nose and ear congestion symptoms. Acetaminophen (APAP) is a non- aspirin  pain reliever and fever reducer.  Antihistamines  help relieve watery  eyes , itchy  eyes /nose/throat,  runny nose , and  sneezing .",Daytime and Nighttime Cold oral, label,"Chronic Obstructive Lung Disease, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Stenosing Peptic Ulcer, Stomach or Intestine Blockage, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Blockage of Urinary Bladder, Enlarged Prostate, Shock, Cannot Empty Bladder, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
 otc,"If your doctor has directed you to use this medication, your doctor or pharmacist may already be aware of any possible drug interactions and may be monitoring you for them. Do not start, stop, or change the dosage of any medicine before checking with your doctor or pharmacist first.",ACETAMINOPHEN   DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat  cough , chest congestion, fever, body aches, and stuffy nose symptoms caused by the  common cold ,  flu , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Guaifenesin  is an expectorant that helps to thin and loosen mucus in the  lungs , making it easier to  cough  up the mucus.  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  (cough center), reducing the urge to cough.  Decongestants  help to relieve stuffy nose symptoms. This product also contains acetaminophen (APAP), a non- aspirin  pain reliever and fever reducer.",Mucus Relief Plus oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Acute Liver Failure, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Severe Renal Impairment, Enlarged Prostate, Shock, Decreased Oxygen In The Tissues Or Blood, Overdose of the Drug Acetaminophen, Acute Inflammation of the Liver due to Hepatitis C Virus, systemic mastocytosis, overactive thyroid gland, Poor Nutrition, Acidosis",See also Warning section.,Runny Nose
 otc,"Keep a list of all your   with you, and share the list with your doctor and pharmacist.",SALICYLATES  NSAIDS (NON-STEROIDAL ANTI-INFLAMMATORY DRUG)   ASPIRIN (TARTRAZINE ONLY   DEXTROMETHORPHAN ANALOGU   ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,Consult your pharmacist.,doxylamine-PE-DM-ASA oral, label,"Reye's Syndrome, Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Thrombotic Thrombocytopenic Purpura, Presence of Polyps in the Nose, Ulcer from Stomach Acid, Stenosing Peptic Ulcer, Stomach or Intestinal Ulcer, Damage to Stomach Lining, Active Inflammation of the Liver, Liver Problems, Acute Inflammation of the Pancreas, Bleeding of the Stomach or Intestines, Kidney Disease, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, Decreased Oxygen In The Tissues Or Blood, Pregnancy, A Mother who is Producing Milk and Breastfeeding, systemic mastocytosis, overactive thyroid gland, Inadequate Vitamin K, Anemia from Pyruvate Kinase and G6PD Deficiencies, Gout, Acidosis, Anemia, Hemophilia, Decrease in the Blood-Clotting Protein Prothrombin, Blood Clotting Disorder - Von Willebrand's Disease, Decreased Blood Platelets, Habit of Drinking Too Much Alcohol",Consult your pharmacist.,Runny Nose
 otc,"Taking certain MAO inhibitors with this medication may cause a serious (possibly fatal) drug interaction. Avoid taking isocarboxazid, methylene blue, moclobemide, phenelzine, procarbazine, rasagiline, selegiline, or tranylcypromine during treatment with this medication. Most MAO inhibitors should also not be taken for two weeks before treatment with this medication. Ask your doctor when to start or stop taking this medication.",DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination  medication  is used to temporarily treat  cough , chest congestion, and stuffy nose symptoms caused by the  common cold ,  flu ,  allergies ,  hay fever , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Guaifenesin  is an expectorant that helps to thin and loosen mucus in the  lungs , making it easier to  cough  up the mucus.  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  ( cough  center), reducing the urge to cough. This product also contains a  decongestant , which helps relieve stuffy nose symptoms.",Biocotron-D oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Active Inflammation of the Liver, Acute Inflammation of the Pancreas, Enlarged Prostate, Decreased Oxygen In The Tissues Or Blood, systemic mastocytosis, overactive thyroid gland, Acidosis",",  ,  , nervousness, or   may occur. If any of these effects persist or worsen, contact your doctor or pharmacist promptly.",Runny Nose
 otc,"Taking certain MAO inhibitors with this medication may cause a serious (possibly fatal) drug interaction. Avoid taking isocarboxazid, methylene blue, moclobemide, phenelzine, procarbazine, rasagiline, selegiline, or tranylcypromine during treatment with this medication. Most MAO inhibitors should also not be taken for two weeks before treatment with this medication. Ask your doctor when to start or stop taking this medication.",DEXTROMETHORPHAN ANALOGU  GUAIFENESIN   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination  medication  is used to temporarily treat  cough , chest congestion, and stuffy nose symptoms caused by the  common cold ,  flu ,  allergies ,  hay fever , or other breathing illnesses (e.g.,  sinusitis ,  bronchitis ).  Guaifenesin  is an expectorant that helps to thin and loosen mucus in the  lungs , making it easier to  cough  up the mucus.  Dextromethorphan  is a  cough suppressant  that affects a certain part of the  brain  ( cough  center), reducing the urge to cough. This product also contains a  decongestant , which helps relieve stuffy nose symptoms.",G-Supress DX oral, label,"High Blood Pressure, Severe Uncontrolled High Blood Pressure, Heart Attack, Disease of the Arteries of the Heart, Partial Heart Block, Rapid Ventricular Heartbeat, Slow Heartbeat, Chronic Heart Failure, Severe Hardening of the Arteries, Blood Clot in an Artery, Active Inflammation of the Liver, Acute Inflammation of the Pancreas, Enlarged Prostate, Decreased Oxygen In The Tissues Or Blood, systemic mastocytosis, overactive thyroid gland, Acidosis",",  ,  , nervousness, or   may occur. If any of these effects persist or worsen, contact your doctor or pharmacist promptly.",Runny Nose
