Type,HowtoUse,Interactions,URL,Allergies,Review,Use,Drug,Indication,Precautions,AvoidUse,Sides,Condition
 rx,,,,,1  User Reviews        ,,ampicillin injection, label,,,,Abdominal Pain and Frequent Stools with Blood & Mucous
 rx,,,,,1  User Reviews        ,,ampicillin intravenous, label,,,,Abdominal Pain and Frequent Stools with Blood & Mucous
 rx,,,,,46  User Reviews        ,,Hizentra subcutaneous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,13  User Reviews        ,,Octagam intravenous, offlabel,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,11  User Reviews        ,,Privigen intravenous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,9  User Reviews        ,,Gammagard Liquid injection, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,6  User Reviews        ,,Flebogamma DIF intravenous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,5  User Reviews        ,,HyQvia subcutaneous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,2  User Reviews        ,,Gammagard S-D (IgA < 1 mcg/mL) intravenous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,2  User Reviews        ,,Gamunex-C injection, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,1  User Reviews        ,,"immune globul,gamma(IgG)-malt-IgA over 50 mcg/mL intravenous", offlabel,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,1  User Reviews        ,,Carimune NF Nanofiltered intravenous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,1  User Reviews        ,,Gammaplex intravenous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,1  User Reviews        ,,Gammaked injection, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,1  User Reviews        ,,Bivigam intravenous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"IgG-hyaluronidase,recombinant subcutaneous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globul,gamma(IgG)-sorb-IgA 0 to 50 mcg/mL intravenous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune glob,gam(IgG)-sorb-gly-IgA 0 to 50 mcg/mL intravenous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globuln,gamma(IgG)-gly-IgA over 50 mcg/mL intravenous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globul,gamma(IgG)-sorb-IgA over 50 mcg/mL intravenous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globulin,gamma (IgG)-gly-IgA over 50 mcg/mL injection", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globul,gamma(IgG)-prol-IgA 0 to 50 mcg/mL intravenous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globul,gamma(IgG)-sucr-IgA over 50 mcg/mL intravenous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune glob,gam(IgG)-gly-gluc-IgA 0 to 50 mcg/mL intravenous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globu,gamma(IgG)-prol-IgA 0 to 50 mcg/mL subcutaneous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,"immune globulin,gamma(IgG)-glyc-IgA 0-50 mcg/mL subcutaneous", label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,Be the first to review it,,HyQvia IG Component subcutaneous, label,,,,Absence of Gamma Globulins in the Blood
 rx,,,,,3  User Reviews        ,,penicillin G sodium injection, label,,,,Abdominal Infection due to the Bacteria Actinomyces
 rx,,,,,2  User Reviews        ,,Pfizerpen-G injection, label,,,,Abdominal Infection due to the Bacteria Actinomyces
 rx,,,,,2  User Reviews        ,,penicillin G pot in dextrose intravenous, label,,,,Abdominal Infection due to the Bacteria Actinomyces
 rx,,,,,1  User Reviews        ,,penicillin G potassium injection, label,,,,Abdominal Infection due to the Bacteria Actinomyces
 rx,,,,,620  User Reviews        ,,Coumadin oral, offlabel,,,,Abnormal Increase in Ability of Blood to Clot
 rx,,,,,502  User Reviews        ,,warfarin oral, offlabel,,,,Abnormal Increase in Ability of Blood to Clot
 rx,,,,,14  User Reviews        ,,Jantoven oral, offlabel,,,,Abnormal Increase in Ability of Blood to Clot
 rx,,,,,Be the first to review it,,fibrinogen intravenous, label,,,,Absence of Fibrinogen in the Plasma
 rx,,,,,Be the first to review it,,RiaSTAP intravenous, label,,,,Absence of Fibrinogen in the Plasma
 rx,,,,,36  User Reviews        ,,Botox injection, label,,,,Abnormality causing Eyes Not To Look In Same Direction
 rx,,,,,28  User Reviews        ,,Botox Cosmetic intramuscular, label,,,,Abnormality causing Eyes Not To Look In Same Direction
 rx,,,,,8  User Reviews        ,,Botox Cosmetic injection, label,,,,Abnormality causing Eyes Not To Look In Same Direction
 rx,,,,,1  User Reviews        ,,onabotulinumtoxinA intramuscular, label,,,,Abnormality causing Eyes Not To Look In Same Direction
 rx,,,,,Be the first to review it,,onabotulinumtoxinA injection, label,,,,Abnormality causing Eyes Not To Look In Same Direction
 rx,,,,,1  User Reviews        ,,cefoxitin in dextrose 3.9 % intravenous, label,,,,Abscess of the Lung due to Staphylococcus Bacteria
 rx,,,,,1  User Reviews        ,,cefoxitin intravenous, label,,,,Abscess of the Lung due to Staphylococcus Bacteria
 rx,,,,,Be the first to review it,,Mefoxin in dextrose (iso-osmotic) intravenous, label,,,,Abscess of the Lung due to Staphylococcus Bacteria
 rx,,,,,Be the first to review it,,cefoxitin in dextrose 2.2 % intravenous, label,,,,Abscess of the Lung due to Staphylococcus Bacteria
 rx,,,,,Be the first to review it,,"cefoxitin in dextrose, iso-osmotic intravenous", label,,,,Abscess of the Lung due to Staphylococcus Bacteria
 rx,,,,,1  User Reviews        ,,cefoxitin in dextrose 3.9 % intravenous, label,,,,Abscess of the Lung caused by Streptococcus Bacteria
