Type,Interactions,Allergies,Review,Use,Drug,Indication,AvoidUse,Sides,Condition
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",PROTON PUMP INHIBITORS,519  User Reviews        ,"Esomeprazole  is used to treat certain  stomach  and  esophagus  problems (such as  acid reflux , ulcers). It works by decreasing the amount of acid your  stomach  makes. It relieves symptoms such as  heartburn , difficulty swallowing, and persistent  cough . This  medication  helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent  cancer  of the esophagus. Esomeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs).",Nexium oral, label,"Atrophic Gastritis, CYP2C19 Poor Metabolizer, Severe Liver Disease, Interstitial Nephritis, Clostridium difficile colitis, Osteoporosis, Broken Bone, Inadequate Vitamin B12, Low Amount of Magnesium in the Blood",See also Precautions section.,Acid Reflux (GERD-Gastroesophageal Reflux Disease)
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ALGINIC ACID  ALUMINUM CONTAINING PRODUCTS  MAGNESIUM CARBONATE  MAGNESIUM,Be the first to review it,Consult your pharmacist.,Riginic oral, offlabel,"Hemorrhoids, Impacted Stool, Stomach or Intestine Blockage, Incomplete or Infrequent Bowel Movements, Kidney Disease, Diarrhea, Aluminum Poisoning, Chronic Diarrhea, Low Amount of Phosphate in the Blood, High Amount of Sodium in the Blood",Consult your pharmacist.,Acid Reflux (GERD-Gastroesophageal Reflux Disease)
 otc,"Drug interactions  may change how your medications work or increase your risk for serious side effects. This document does not contain all possible  drug interactions . Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",CALCIUM  CALCIUM CARBONATE  HISTAMINE H2 INHIBITORS  MAGNESIUM,Be the first to review it,This combination of three  medications  is used to treat  heartburn  and other symptoms caused by too much acid in the  stomach  (acid  indigestion ).  Famotidine  is a drug that blocks acid release in the  stomach  and can help stop  heartburn  and acid  indigestion  from coming back.  Calcium  carbonate and  magnesium  hydroxide are antacids that work quickly to lower acid in the stomach and stop heartburn.,Duo Fusion oral, label,"Tumor that Dissolves Bone, Incomplete or Infrequent Bowel Movements, Liver Problems, Kidney Stone, Kidney Disease, Diarrhea, sarcoidosis, Stomach Cancer, Increased Activity of the Parathyroid Gland, High Amount of Calcium in the Blood, Extreme Loss of Body Water, Moderate to Severe Kidney Impairment","Diarrhea ,  headache ,  constipation , or stomach  cramps  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Acid Reflux (GERD-Gastroesophageal Reflux Disease)
 rx,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",PROTON PUMP INHIBITORS,Be the first to review it,"Rabeprazole  is used to treat certain  stomach  and  esophagus  problems (such as  acid reflux , ulcers). It works by decreasing the amount of acid your  stomach  makes. It relieves symptoms such as  heartburn , difficulty swallowing, and persistent  cough . This  medication  helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent  cancer  of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs).",AcipHex Sprinkle oral, label,"CYP2C19 Poor Metabolizer, Liver Problems, Interstitial Nephritis, Clostridium difficile colitis, Osteoporosis, Broken Bone, Inadequate Vitamin B12, Low Amount of Magnesium in the Blood","Headache  may occur. If this effect persists or worsens, tell your doctor or pharmacist promptly.",Acid Reflux (GERD-Gastroesophageal Reflux Disease)
 otc,"Drug interactions  may change how your medications work or increase your risk for serious side effects. This document does not contain all possible  drug interactions . Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",CALCIUM  CALCIUM CARBONATE  HISTAMINE H2 INHIBITORS  MAGNESIUM,Be the first to review it,This combination of three  medications  is used to treat  heartburn  and other symptoms caused by too much acid in the  stomach  (acid  indigestion ).  Famotidine  is a drug that blocks acid release in the  stomach  and can help stop  heartburn  and acid  indigestion  from coming back.  Calcium  carbonate and  magnesium  hydroxide are antacids that work quickly to lower acid in the stomach and stop heartburn.,Acid Controller Complete oral, label,"Tumor that Dissolves Bone, Incomplete or Infrequent Bowel Movements, Liver Problems, Kidney Stone, Kidney Disease, Diarrhea, sarcoidosis, Stomach Cancer, Increased Activity of the Parathyroid Gland, High Amount of Calcium in the Blood, Extreme Loss of Body Water, Moderate to Severe Kidney Impairment","Diarrhea ,  headache ,  constipation , or stomach  cramps  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Acid Reflux (GERD-Gastroesophageal Reflux Disease)
 otc,"Some products that may interact with this drug include: raltegravir, sodium polystyrene sulfonate.",GLYCERIN  MAGNESIUM HYDROXIDE  MAGNESIUM,Be the first to review it,"This  medication  is used for a short time to treat occasional  constipation . It is a  laxative  (osmotic-type) that is thought to work by drawing water into the  intestines , an effect that helps to cause movement of the  intestines .",Pedia-Lax oral, label,"Appendicitis, Stomach or Intestine Blockage, Kidney Disease, Seizures, High Amount of Magnesium in the Blood, Low Amount of Sodium in the Blood, Extreme Loss of Body Water","Diarrhea may occur. If this effect persists or worsens, tell your doctor or pharmacist promptly.",Acid Reflux (GERD-Gastroesophageal Reflux Disease)
 rx,A product that may interact with this drug is: metoclopramide.,RISPERIDONE ANALOGUES,11  User Reviews        ,"This medication is used to treat certain mental/ mood disorders  (such as  schizophrenia ,  schizoaffective disorder ). This medication can decrease  hallucinations  and help you to think more clearly and positively about yourself, feel less agitated, and take a more active part in everyday life.",paliperidone oral, offlabel,"Parkinson Symptoms, Abnormal Movements of Face Muscles and Tongue, Neuroleptic Malignant Syndrome, Lower Seizure Threshold, Metabolic Syndrome X, Dementia in an Elderly Person, Diffuse Lewy Body Disease, Cataract Surgery, Intraoperative Floppy Iris Syndrome, Muscle Problems that cause Abnormal Movement, Heart Attack, Angina, Very Rapid Heartbeat - Torsades de Pointes, Prolonged Q-T Interval on EKG, Chronic Heart Failure, Abnormal EKG with QT changes from Birth, Any Disorder of the Blood Vessels of the Brain, Blood Pressure Drop Upon Standing, Compression of the Esophagus, Continued Painful Erection, Seizures, Weight Gain, High Blood Sugar, Susceptible to Breathing Fluid Into Lungs, Pregnancy, Decreased Blood Volume, Problems with Food Passing Through the Esophagus, breast cancer, Diabetes, increased prolactin in the blood, High Amount of Fats in the Blood, Low Amount of Magnesium in the Blood, Extreme Loss of Body Water, Low Amount of Potassium in the Blood, Overweight, Moderate to Severe Kidney Impairment, Deficiency of Granulocytes a Type of White Blood Cell, Decreased White Blood Cells, Decreased Neutrophils a Type of White Blood Cell, Confused, Having Thoughts of Suicide","Drowsiness,  dizziness , lightheadedness, drooling,  stomach / abdominal pain ,  weight  gain, or tiredness may occur. If any of these side effects persist or worsen, tell your doctor promptly.",Autism - Infantile
 rx,A product that may interact with this drug is: metoclopramide.,RISPERIDONE ANALOGUES,18  User Reviews        ,"Risperidone is used to treat certain mental/ mood disorders  (such as  schizophrenia ,  bipolar disorder , irritability associated with autistic disorder). This medication can help you to think clearly and take part in everyday life.",Risperdal M-TAB oral, label,"Misuse or Excessive Use of Drugs, Parkinson Symptoms, Abnormal Movements of Face Muscles and Tongue, Neuroleptic Malignant Syndrome, Tobacco Smoking, Metabolic Syndrome X, Dementia in an Elderly Person, Diffuse Lewy Body Disease, Cataract Surgery, Intraoperative Floppy Iris Syndrome, Heart Attack, Disease of Inadequate Blood Flow to the Heart Muscle, Abnormal Heart Rhythm, Chronic Heart Failure, Disease of the Heart and Blood Vessels, Abnormal EKG with QT changes from Birth, Stroke, Any Disorder of the Blood Vessels of the Brain, Blood Pressure Drop Upon Standing, Abnormally Low Blood Pressure, Liver Problems, Severe Liver Disease, Severe Renal Impairment, Continued Painful Erection, Serious Muscle Damage that may Lead to Kidney Failure, Seizures, Fever, Weight Gain, Difficulty Swallowing, Cannot Empty Bladder, High Blood Sugar, Low Body Temperature, Susceptible to Breathing Fluid Into Lungs, Decreased Blood Volume, breast cancer, Diabetes, increased prolactin in the blood, High Amount of Fats in the Blood, Extreme Loss of Body Water, Overweight, Deficiency of Granulocytes a Type of White Blood Cell, Decreased White Blood Cells, Decreased Neutrophils a Type of White Blood Cell, Confused","Drowsiness,  dizziness , lightheadedness, drooling,  nausea ,  weight  gain, or tiredness may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Autism - Infantile
 rx,"Some products that may interact with this drug include:  valproic acid  and related drugs (such as  divalproex  sodium, sodium valproate).",BETALACTAMS  CARBAPENEMS,1  User Reviews        ,Ertapenem  is used to prevent and treat a wide variety of  bacterial infections . This  medication  is known as a carbapenem-type antibiotic. It works by stopping the growth of bacteria.,ertapenem injection, label,"Lesion of the Brain, Kidney Disease, Severe Renal Impairment, Clostridium difficile colitis, Seizures","Swelling, redness, pain, or soreness at the injection site may occur.  Upset stomach ,  headache , nausea,  vomiting , or  diarrhea  may also occur. If any of these effects last or get worse, tell your doctor or pharmacist promptly.",Bladder Infection (Urinary Tract Infection)
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",CAMPHOR  MENTHOL CONTAIN PROD,Be the first to review it,Consult your pharmacist.,Camphotrex topical, label,Burn,Consult your pharmacist.,Back pain
